ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Angola,Share of temporary employees by sex (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2011,30.68,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Share of temporary employees by sex (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2011,29.85,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Share of temporary employees by sex (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2011,32.64,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2010,16.87,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2010,21.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2010,9.01,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2011,14.82,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2011,17.53,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2011,10.66,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2012,10.89,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2012,13.77,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2012,6.27,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2013,12.64,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2013,16.09,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2013,7.79,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2014,13.65,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2014,17.96,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2014,7.87,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2015,11.81,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2015,14.78,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2015,8.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2016,12.41,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2016,15.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2016,8.76,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2017,12.27,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2017,15.85,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2017,7.97,,,Repository: ILO-STATISTICS - Micro data processing
