ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2010,54.31
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2010,59.21
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2010,52.38
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2010,52.46
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2010,58.2
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2010,50.25
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2010,64.98
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2010,64.43
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2010,65.23
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2011,52.92
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2011,58.09
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2011,50.85
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2011,50.97
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2011,57.03
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2011,48.6
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2011,63.86
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2011,63.38
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2011,64.08
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2012,50.31
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2012,55.87
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2012,48.05
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2012,48.23
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2012,54.74
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2012,45.65
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2012,61.66
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2012,61.29
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2012,61.83
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2013,48.63
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2013,54.69
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2013,46.14
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2013,46.34
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2013,53.49
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2013,43.5
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2013,60.35
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2013,60.09
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2013,60.48
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2014,47.13
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2014,53.65
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2014,44.43
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2014,44.63
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2014,52.38
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2014,41.54
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2014,59.15
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2014,58.99
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2014,59.23
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2015,45.74
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2015,52.73
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2015,42.83
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2015,43.01
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2015,51.38
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2015,39.67
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2015,58.05
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2015,57.98
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2015,58.09
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2016,44.32
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2016,51.77
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2016,41.24
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2016,41.35
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2016,50.36
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2016,37.78
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2016,56.89
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2016,56.91
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2016,56.88
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2017,42.56
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2017,50.49
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2017,39.29
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2017,39.32
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2017,49
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2017,35.51
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2017,55.37
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2017,55.5
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2017,55.3
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2018,41.43
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2018,49.5
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 25+",2018,38.11
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15+",2018,38.1
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 15-24",2018,47.98
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Male,"Age (Youth, adults): 25+",2018,34.23
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15+",2018,54.29
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 15-24",2018,54.49
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Female,"Age (Youth, adults): 25+",2018,54.19
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15+",2019,40.11
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO modelled estimates,Sex: Total,"Age (Youth, adults): 15-24",2019,48.38
