ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Afghanistan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AFG - HIES - Living Condition Survey,Occupation (Managerial positions): Total management,2014,6.37,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AFG - HIES - Living Condition Survey,Occupation (Managerial positions): Senior and middle management,2017,4.26,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AFG - HIES - Living Condition Survey,Occupation (Managerial positions): Total management,2017,4.05,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Occupation (Managerial positions): Total management,2011,31.85,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AGO - LFS - Inquérito ao Emprego em Angola,Occupation (Managerial positions): Total management,2010,29.76,,
Angola,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AGO - PC - Recensements de population,Occupation (Managerial positions): Total management,2014,19.52,,
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2010,16.25,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2010,19.1,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2012,14.71,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2012,16.07,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2013,29.3,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2013,31.93,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2014,20.62,,Repository: ILO-STATISTICS - Micro data processing
